date,daily_request_count,requests,y_true_7day,y_pred,abs_error,rolling_mae,status
2023-11-17,9194,9194,9312.857142857143,9326.42857142857,13.571428571427532,154.59183673469383,OK
2023-11-18,7917,7917,9314.142857142857,9312.857142857143,1.285714285713766,152.7244897959183,OK
2023-11-19,7795,7795,9170.714285714286,9314.142857142857,143.42857142857065,157.31122448979582,OK
2023-11-20,10252,10252,9109.142857142857,9170.714285714286,61.57142857142935,159.3571428571428,OK
2023-11-21,9463,9463,9066.857142857143,9109.142857142857,42.285714285713766,158.2397959183673,OK
2023-11-22,9158,9158,9004.285714285714,9066.857142857143,62.57142857142935,157.6938775510204,OK
2023-11-23,6243,6243,8574.57142857143,9004.285714285714,429.7142857142844,172.3214285714285,OK
2023-11-24,7465,7465,8327.57142857143,8574.57142857143,247.0,172.60204081632648,OK
2023-11-25,8057,8057,8347.57142857143,8327.57142857143,20.0,166.71428571428564,OK
2023-11-26,7813,7813,8350.142857142857,8347.57142857143,2.571428571427532,163.7755102040815,OK
2023-11-27,10347,10347,8363.714285714286,8350.142857142857,13.571428571429351,158.63265306122437,OK
2023-11-28,11382,11382,8637.857142857143,8363.714285714286,274.1428571428569,162.22448979591823,OK
2023-11-29,11502,11502,8972.714285714286,8637.857142857143,334.8571428571431,166.90816326530597,OK
2023-11-30,10337,10337,9557.57142857143,8972.714285714286,584.8571428571431,183.64285714285703,OK
2023-12-01,9587,9587,9860.714285714286,9557.57142857143,303.1428571428569,194.19897959183663,OK
2023-12-02,8838,8838,9972.285714285714,9860.714285714286,111.57142857142753,194.64285714285694,OK
2023-12-03,8088,8088,10011.57142857143,9972.285714285714,39.285714285715585,188.25510204081618,OK
2023-12-04,7338,7338,9581.714285714286,10011.57142857143,429.8571428571431,199.41326530612227,OK
2023-12-05,6588,6588,8896.857142857143,9581.714285714286,684.8571428571431,209.85204081632642,OK
2023-12-06,5838,5838,8087.714285714285,8896.857142857143,809.1428571428578,224.73469387755088,OK
2023-12-07,5089,5089,7338.0,8087.714285714285,749.7142857142853,237.48979591836724,OK
2023-12-08,4339,4339,6588.285714285715,7338.0,749.7142857142853,259.8979591836733,OK
2023-12-09,8110,8110,6484.285714285715,6588.285714285715,104.0,254.1989795918366,OK
2023-12-10,7342,7342,6377.714285714285,6484.285714285715,106.57142857142935,255.14285714285705,OK
2023-12-11,10193,10193,6785.571428571428,6377.714285714285,407.8571428571431,260.9591836734693,OK
2023-12-12,10938,10938,7407.0,6785.571428571428,621.4285714285716,277.1122448979591,OK
2023-12-13,10308,10308,8045.571428571428,7407.0,638.5714285714284,292.70918367346934,OK
2023-12-14,9719,9719,8707.0,8045.571428571428,661.4285714285716,308.87755102040813,OK
2023-12-15,10242,10242,9550.285714285714,8707.0,843.2857142857138,338.51020408163265,WARN
2023-12-16,7803,7803,9506.42857142857,9550.285714285714,43.85714285714312,340.03061224489795,WARN
2023-12-17,7163,7163,9480.857142857143,9506.42857142857,25.571428571427532,335.82142857142856,WARN
2023-12-18,11259,11259,9633.142857142857,9480.857142857143,152.28571428571377,339.06122448979585,WARN
2023-12-19,9986,9986,9497.142857142857,9633.142857142857,136.0,342.4081632653061,WARN
2023-12-20,9703,9703,9410.714285714286,9497.142857142857,86.42857142857065,343.2602040816326,WARN
2023-12-21,9056,9056,9316.0,9410.714285714286,94.71428571428623,331.2959183673469,WARN
2023-12-22,9172,9172,9163.142857142857,9316.0,152.85714285714312,327.93367346938777,WARN
2023-12-23,7153,7153,9070.285714285714,9163.142857142857,92.85714285714312,330.5357142857143,WARN
2023-12-24,6421,6421,8964.285714285714,9070.285714285714,106.0,334.22959183673476,WARN
2023-12-25,5596,5596,8155.285714285715,8964.285714285714,808.9999999999991,362.6377551020408,WARN
2023-12-26,7867,7867,7852.571428571428,8155.285714285715,302.71428571428623,363.65816326530614,WARN
2023-12-27,7629,7629,7556.285714285715,7852.571428571428,296.28571428571377,362.2806122448979,WARN
2023-12-28,8166,8166,7429.142857142857,7556.285714285715,127.14285714285779,345.93367346938777,WARN
2023-12-29,8146,8146,7282.571428571428,7429.142857142857,146.57142857142844,340.34183673469386,WARN
2023-12-30,7000,7000,7260.714285714285,7282.571428571428,21.857142857143117,337.1377551020409,WARN
2023-12-31,6689,6689,7299.0,7260.714285714285,38.285714285714675,337.10204081632656,WARN
2024-01-01,6398,6398,7413.571428571428,7299.0,114.57142857142844,325.84183673469386,WARN
2024-01-02,6107,6107,7162.142857142857,7413.571428571428,251.42857142857156,310.36224489795916,OK
2024-01-03,5816,5816,6903.142857142857,7162.142857142857,259.0,290.71428571428567,OK
2024-01-04,5525,5525,6525.857142857143,6903.142857142857,377.28571428571377,277.4132653061224,OK
2024-01-05,5234,5234,6109.857142857143,6525.857142857143,416.0,265.4948979591837,OK
2024-01-06,4944,4944,5816.142857142857,6109.857142857143,293.71428571428623,272.2704081632653,OK
2024-01-07,4653,4653,5525.285714285715,5816.142857142857,290.8571428571422,278.85204081632645,OK
2024-01-08,4362,4362,5234.428571428572,5525.285714285715,290.8571428571431,274.67346938775506,OK
2024-01-09,4071,4071,4943.571428571428,5234.428571428572,290.8571428571431,262.8673469387755,OK
2024-01-10,3780,3780,4652.714285714285,4943.571428571428,290.8571428571431,250.4489795918367,OK
2024-01-11,9664,9664,5244.0,4652.714285714285,591.2857142857147,247.9438775510204,OK
2024-01-12,8900,8900,5767.714285714285,5244.0,523.7142857142853,236.53061224489792,OK
2024-01-13,7487,7487,6131.0,5767.714285714285,363.2857142857147,247.93877551020407,OK
2024-01-14,8108,8108,6624.571428571428,6131.0,493.57142857142844,264.6530612244898,OK
2024-01-15,9178,9178,7312.571428571428,6624.571428571428,688.0,283.78571428571433,OK
2024-01-16,9652,9652,8109.857142857143,7312.571428571428,797.2857142857147,307.4030612244898,OK
2024-01-17,11684,11684,9239.0,8109.857142857143,1129.1428571428569,344.6428571428572,WARN
2024-01-18,12554,12554,9651.857142857143,9239.0,412.8571428571431,356.0051020408164,WARN
2024-01-19,9362,9362,9717.857142857143,9651.857142857143,66.0,352.9030612244898,WARN
2024-01-20,8186,8186,9817.714285714286,9717.857142857143,99.85714285714312,353.1530612244898,WARN
2024-01-21,8748,8748,9909.142857142857,9817.714285714286,91.42857142857065,352.6326530612245,WARN
2024-01-22,10429,10429,10087.857142857143,9909.142857142857,178.71428571428623,330.12244897959187,WARN
2024-01-23,9706,9706,10095.57142857143,10087.857142857143,7.714285714286234,319.5867346938776,OK
2024-01-24,9092,9092,9725.285714285714,10095.57142857143,370.2857142857156,322.2295918367348,WARN
2024-01-25,9605,9605,9304.0,9725.285714285714,421.28571428571377,332.73469387755114,WARN
2024-01-26,9281,9281,9292.42857142857,9304.0,11.571428571429351,327.9132653061226,WARN
2024-01-27,8047,8047,9272.57142857143,9292.42857142857,19.857142857141298,327.84183673469397,WARN
2024-01-28,7330,7330,9070.0,9272.57142857143,202.57142857142935,333.70918367346945,WARN
2024-01-29,9833,9833,8984.857142857143,9070.0,85.14285714285688,332.6581632653062,WARN
2024-01-30,9934,9934,9017.42857142857,8984.857142857143,32.57142857142753,324.8418367346939,WARN
2024-01-31,9440,9440,9067.142857142857,9017.42857142857,49.714285714286234,317.36734693877554,OK
2024-02-01,7930,7930,8827.857142857143,9067.142857142857,239.28571428571377,312.43877551020415,OK
2024-02-02,6421,6421,8419.285714285714,8827.857142857143,408.57142857142935,312.1734693877552,OK
2024-02-03,4911,4911,7971.285714285715,8419.285714285714,447.9999999999991,317.6836734693878,OK
2024-02-04,3402,3402,7410.142857142857,7971.285714285715,561.1428571428578,327.33673469387764,WARN
2024-02-05,1892,1892,6275.714285714285,7410.142857142857,1134.4285714285716,357.46428571428584,WARN
2024-02-06,9472,9472,6209.714285714285,6275.714285714285,66.0,349.4336734693878,WARN
2024-02-07,9073,9073,6157.285714285715,6209.714285714285,52.42857142857065,340.9183673469388,WARN
2024-02-08,8848,8848,6288.428571428572,6157.285714285715,131.14285714285688,324.48469387755097,WARN
2024-02-09,8478,8478,6582.285714285715,6288.428571428572,293.8571428571431,316.2755102040816,OK
2024-02-10,8108,8108,7039.0,6582.285714285715,456.7142857142853,319.61224489795916,OK
2024-02-11,7345,7345,7602.285714285715,7039.0,563.2857142857147,322.10204081632645,OK
2024-02-12,8852,8852,8596.57142857143,7602.285714285715,994.2857142857147,333.0408163265306,WARN
2024-02-13,7373,7373,8296.714285714286,8596.57142857143,299.8571428571431,315.2755102040816,OK
2024-02-14,8273,8273,8182.428571428572,8296.714285714286,114.28571428571468,279.030612244898,OK
2024-02-15,8485,8485,8130.571428571428,8182.428571428572,51.85714285714312,266.13775510204084,OK
2024-02-16,8424,8424,8122.857142857143,8130.571428571428,7.7142857142853245,264.05612244897964,OK
2024-02-17,6423,6423,7882.142857142857,8122.857142857143,240.71428571428623,269.0867346938776,OK
2024-02-18,7110,7110,7848.571428571428,7882.142857142857,33.57142857142844,267.02040816326536,OK
2024-02-19,7582,7582,7667.142857142857,7848.571428571428,181.42857142857156,267.11734693877554,OK
2024-02-20,8593,8593,7841.428571428572,7667.142857142857,174.28571428571468,273.0663265306123,OK
2024-02-21,8892,8892,7929.857142857143,7841.428571428572,88.42857142857156,263.0,OK
2024-02-22,8517,8517,7934.428571428572,7929.857142857143,4.5714285714284415,248.1173469387755,OK
2024-02-23,8614,8614,7961.571428571428,7934.428571428572,27.142857142856883,248.6734693877551,OK
2024-02-24,7092,7092,8057.142857142857,7961.571428571428,95.57142857142844,251.3775510204082,OK
2024-02-25,7214,7214,8072.0,8057.142857142857,14.857142857143117,244.67346938775512,OK
2024-02-26,8989,8989,8273.0,8072.0,201.0,248.81122448979593,OK
2024-02-27,8856,8856,8310.57142857143,8273.0,37.57142857142935,248.98979591836743,OK
2024-02-28,8469,8469,8250.142857142857,8310.57142857143,60.42857142857247,249.37244897959195,OK
2024-02-29,9026,9026,8322.857142857143,8250.142857142857,72.71428571428623,243.42346938775523,OK
2024-03-01,8095,8095,8248.714285714286,8322.857142857143,74.14285714285688,231.47959183673478,OK
2024-03-02,7164,7164,8259.0,8248.714285714286,10.285714285713766,215.84693877551032,OK
2024-03-03,6232,6232,8118.714285714285,8259.0,140.28571428571468,200.81632653061234,OK
2024-03-04,5301,5301,7591.857142857143,8118.714285714285,526.8571428571422,179.1173469387756,OK
2024-03-05,4370,4370,6951.0,7591.857142857143,640.8571428571431,199.64795918367355,OK
2024-03-06,3438,3438,6232.285714285715,6951.0,718.7142857142853,223.4438775510205,OK
2024-03-07,2507,2507,5301.0,6232.285714285715,931.2857142857147,252.02040816326544,OK
2024-03-08,1576,1576,4369.714285714285,5301.0,931.2857142857147,274.7857142857144,OK
2024-03-09,7488,7488,4416.0,4369.714285714285,46.285714285714675,260.1275510204083,OK
2024-03-10,7773,7773,4636.142857142857,4416.0,220.14285714285688,247.87244897959198,OK
2024-03-11,9607,9607,5251.285714285715,4636.142857142857,615.1428571428578,234.33163265306138,OK
2024-03-12,9903,9903,6041.714285714285,5251.285714285715,790.4285714285706,251.85204081632665,OK
2024-03-13,9460,9460,6902.0,6041.714285714285,860.2857142857147,278.4948979591838,OK
2024-03-14,9532,9532,7905.571428571428,6902.0,1003.5714285714284,312.48469387755114,OK
2024-03-15,8884,8884,8949.57142857143,7905.571428571428,1044.000000000001,349.49489795918373,WARN
2024-03-16,7492,7492,8950.142857142857,8949.57142857143,0.571428571427532,340.9183673469388,WARN
2024-03-17,7606,7606,8926.285714285714,8950.142857142857,23.857142857143117,340.5714285714287,WARN
2024-03-18,8192,8192,8724.142857142857,8926.285714285714,202.14285714285688,341.31122448979596,WARN
2024-03-19,11450,11450,8945.142857142857,8724.142857142857,221.0,342.97959183673476,WARN
2024-03-20,9241,9241,8913.857142857143,8945.142857142857,31.285714285713766,340.93877551020404,WARN
2024-03-21,9304,9304,8881.285714285714,8913.857142857143,32.57142857142935,341.9387755102042,WARN
2024-03-22,8991,8991,8896.57142857143,8881.285714285714,15.285714285715585,341.51530612244915,WARN
2024-03-23,7673,7673,8922.42857142857,8896.57142857143,25.857142857141298,339.0255102040818,WARN
2024-03-24,8043,8043,8984.857142857143,8922.42857142857,62.42857142857247,340.7244897959185,WARN
2024-03-25,9391,9391,9156.142857142857,8984.857142857143,171.28571428571377,339.6632653061225,WARN
2024-03-26,9488,9488,8875.857142857143,9156.142857142857,280.28571428571377,348.3316326530613,WARN
2024-03-27,8882,8882,8824.57142857143,8875.857142857143,51.285714285713766,348.0051020408164,WARN
2024-03-28,7443,7443,8558.714285714286,8824.57142857143,265.8571428571431,354.90306122448976,WARN
2024-03-29,7867,7867,8398.142857142857,8558.714285714286,160.57142857142935,357.98979591836735,WARN
2024-03-30,7341,7341,8350.714285714286,8398.142857142857,47.42857142857065,359.3163265306122,WARN
2024-03-31,7373,7373,8255.0,8350.714285714286,95.71428571428623,357.7244897959184,WARN
2024-04-01,6863,6863,7893.857142857143,8255.0,361.1428571428569,351.8061224489797,WARN
2024-04-02,6354,6354,7446.142857142857,7893.857142857143,447.71428571428623,344.90816326530614,WARN
2024-04-03,5844,5844,7012.142857142857,7446.142857142857,434.0,334.73979591836735,WARN
2024-04-04,5334,5334,6710.857142857143,7012.142857142857,301.28571428571377,312.23979591836735,OK
2024-04-05,4824,4824,6276.142857142857,6710.857142857143,434.71428571428623,294.5051020408164,OK
2024-04-06,4314,4314,5843.714285714285,6276.142857142857,432.42857142857156,308.295918367347,OK
2024-04-07,3805,3805,5334.0,5843.714285714285,509.7142857142853,318.6377551020409,OK
2024-04-08,3295,3295,4824.285714285715,5334.0,509.7142857142853,314.8724489795918,OK
2024-04-09,9765,9765,5311.571428571428,4824.285714285715,487.28571428571377,304.0459183673469,OK
2024-04-10,9491,9491,5832.571428571428,5311.571428571428,521.0,291.9285714285714,OK
2024-04-11,6588,6588,6011.714285714285,5832.571428571428,179.14285714285688,262.48469387755097,OK
2024-04-12,7340,7340,6371.142857142857,6011.714285714285,359.42857142857156,238.03571428571422,OK
2024-04-13,6700,6700,6712.0,6371.142857142857,340.8571428571431,250.18877551020407,OK
2024-04-14,7805,7805,7283.428571428572,6712.0,571.4285714285716,269.7448979591837,OK
2024-04-15,15899,15899,9084.0,7283.428571428572,1800.5714285714284,326.8316326530612,WARN
2024-04-16,10454,10454,9182.42857142857,9084.0,98.42857142857065,322.454081632653,WARN
2024-04-17,9307,9307,9156.142857142857,9182.42857142857,26.285714285713766,322.27551020408157,WARN
2024-04-18,8936,8936,9491.57142857143,9156.142857142857,335.42857142857247,333.09183673469386,WARN
2024-04-19,9397,9397,9785.42857142857,9491.57142857143,293.8571428571413,343.0408163265305,WARN
2024-04-20,8022,8022,9974.285714285714,9785.42857142857,188.85714285714312,348.8622448979591,WARN
2024-04-21,8050,8050,10009.285714285714,9974.285714285714,35.0,347.8826530612244,WARN
2024-04-22,9435,9435,9085.857142857143,10009.285714285714,923.4285714285706,374.74489795918356,WARN
2024-04-23,8609,8609,8822.285714285714,9085.857142857143,263.57142857142935,374.1479591836734,WARN
2024-04-24,8743,8743,8741.714285714286,8822.285714285714,80.57142857142753,375.1938775510203,WARN
