date,daily_request_count
2024-10-17,10604
2024-10-18,9946
2024-10-19,9060
2024-10-20,8965
2024-10-21,10509
2024-10-22,10363
2024-10-23,9762
2024-10-24,8783
2024-10-25,9223
2024-10-26,9571
2024-10-27,9776
2024-10-28,12571
2024-10-29,11875
2024-10-30,10516
2024-10-31,10528
2024-11-10,837
2024-11-11,7910
2024-11-12,10555
2024-11-13,11116
2024-11-14,11186
2024-11-15,9881
2024-11-16,8441
2024-11-17,8334
2024-11-18,12070
2024-11-19,14547
2024-11-20,13821
2024-11-21,10082
2024-11-22,10726
2024-11-23,8857
2024-11-24,8900
2024-11-25,10700
2024-11-26,8969
2024-11-27,8718
2024-11-28,6512
2024-11-29,8973
2024-11-30,8865
2024-12-12,6389
2024-12-13,11005
2024-12-14,9488
2024-12-15,9906
2024-12-16,14536
2024-12-17,13364
2024-12-18,9184
2024-12-19,9385
2024-12-20,9446
2024-12-21,8254
2024-12-22,11568
2024-12-23,12819
2024-12-24,8603
2024-12-25,6461
2024-12-26,8785
2024-12-27,8580
2024-12-28,7561
2024-12-29,11235
2024-12-30,11680
2024-12-31,11751
