date,daily_request_count,target_7day_avg
2023-06-03,6056,7622.0
2023-06-04,5052,7023.285714285715
2023-06-05,4049,6055.571428571428
2023-06-06,3046,5052.428571428572
2023-06-07,2043,4049.285714285714
2023-06-08,1040,4185.428571428572
2023-06-09,8012,4548.142857142857
2023-06-10,8595,5183.857142857143
2023-06-11,9502,5933.142857142857
2023-06-12,9294,6831.571428571428
2023-06-13,9335,7730.714285714285
2023-06-14,8337,8866.714285714286
2023-06-15,8992,8953.857142857143
2023-06-16,8622,8935.857142857143
2023-06-17,8469,8915.285714285714
2023-06-18,9358,8806.57142857143
2023-06-19,8533,8876.42857142857
2023-06-20,9824,9069.57142857143
2023-06-21,9689,9052.285714285714
2023-06-22,8871,9089.142857142857
2023-06-23,8880,9141.714285714286
2023-06-24,8837,9172.285714285714
2023-06-25,9572,9328.0
2023-06-26,9623,9248.142857142857
2023-06-27,9265,9195.57142857143
2023-06-28,9321,9265.0
2023-06-29,9357,9235.285714285714
2023-06-30,8672,9141.714285714286
2023-07-01,8182,8873.285714285714
2023-07-02,7693,8527.57142857143
2023-07-03,7203,8163.142857142857
2023-07-04,6714,7720.714285714285
2023-07-05,6224,7203.142857142857
2023-07-06,5734,6713.571428571428
2023-07-07,5245,6224.0
2023-07-08,4755,5734.428571428572
2023-07-09,4266,5244.857142857143
2023-07-10,3776,5658.714285714285
2023-07-11,9611,6164.142857142857
2023-07-12,9762,6728.285714285715
2023-07-13,9683,7277.857142857143
2023-07-14,9092,7720.714285714285
2023-07-15,7855,8206.285714285714
2023-07-16,7665,9095.42857142857
2023-07-17,10000,9111.857142857143
2023-07-18,9726,9094.0
2023-07-19,9637,9106.42857142857
2023-07-20,9770,9132.57142857143
2023-07-21,9275,9261.42857142857
2023-07-22,8757,9515.142857142857
2023-07-23,9441,9514.0
2023-07-24,9992,9515.714285714286
2023-07-25,9738,9478.0
2023-07-26,9373,9442.42857142857
2023-07-27,9521,9484.57142857143
2023-07-28,9570,9450.142857142857
2023-07-29,8516,9431.857142857143
2023-07-30,9313,9422.57142857143
2023-07-31,9927,9426.285714285714
2023-08-01,9764,9458.857142857143
2023-08-02,9601,9447.0
2023-08-03,9438,9404.857142857143
2023-08-04,9275,9490.0
2023-08-05,9112,9437.857142857143
2023-08-06,8948,9274.714285714286
2023-08-07,8785,9111.57142857143
2023-08-08,8622,8948.42857142857
2023-08-09,8459,8785.285714285714
2023-08-10,8296,8794.57142857143
2023-08-11,9340,8740.42857142857
2023-08-12,8733,8737.285714285714
2023-08-13,8926,8868.42857142857
2023-08-14,9703,8965.42857142857
2023-08-15,9301,9096.0
2023-08-16,9373,9243.285714285714
2023-08-17,9327,9336.285714285714
2023-08-18,9991,9373.857142857143
2023-08-19,8996,9432.857142857143
2023-08-20,9339,9404.142857142857
2023-08-21,9502,9379.42857142857
2023-08-22,9128,9331.714285714286
2023-08-23,9039,9150.857142857143
2023-08-24,8061,8933.42857142857
2023-08-25,8469,8924.57142857143
2023-08-26,8934,8845.142857142857
2023-08-27,8783,8841.0
2023-08-28,9473,8848.0
2023-08-29,9177,8862.57142857143
2023-08-30,9141,8992.142857142857
2023-08-31,8968,9025.42857142857
2023-09-01,8702,8954.42857142857
2023-09-02,8437,8867.0
2023-09-03,8171,8643.142857142857
2023-09-04,7906,8423.57142857143
2023-09-05,7640,8171.142857142857
2023-09-06,7374,7905.571428571428
2023-09-07,7109,7640.0
2023-09-08,6843,7374.428571428572
2023-09-09,6578,7108.857142857143
2023-09-10,6312,7448.571428571428
2023-09-11,10284,7852.571428571428
2023-09-12,10468,8171.571428571428
2023-09-13,9607,8561.142857142857
2023-09-14,9836,8944.857142857143
2023-09-15,9529,9334.714285714286
2023-09-16,9307,9711.857142857143
2023-09-17,8952,9501.0
